name,speaker_occupation,views
Zaria Forman,Artist,1078782
J.D. Vance,Author,1077686
Giorgia Lupi,Information designer,1077662
Diane Benscoter,Deprogrammer,1076279
Stefano Mancuso,Plant neurobiologist,1075196
Matthew Williams,Special Olympics International Sargent Shriver Global Messenger,1074684
Eve Ensler,"Playwright, activist",1074170
Ross Lovegrove,Industrial designer,1074081
Paul Bloom,Psychologist,1073549
Anant Agarwal,Education innovator,1072727
Mary Bassett,New York City Health Commissioner,1072558
Ian Goldin,"Economist, development visionary",1072435
Tan Le,Entrepreneur,1072306
Alice Dreger,Historian,1071132
Joe Lassiter,Energy scholar,1070583
Ray Dalio,Hedge fund chair,1070238
Tom Shannon,Sculptor,1069653
Sinéad Burke,"Writer, educator",1069469
Paul Kemp-Robertson,Advertising expert,1068469
Jaap de Roode,Biologist,1068305
Malcolm Gladwell,Writer,1067460
Natalie MacMaster,Fiddler,1065681
Max Little,Applied mathematician,1065331
Cynthia Breazeal,Roboticist ,1064574
Nina Tandon,Tissue engineering researcher,1063880
Aparna Rao,Artist,1063414
Jack Horner,Dinosaur digger,1063288
Eli Beer,Life saver,1062701
Amanda Burden,Urban planner,1061964
Drew Curtis,Web entrepreneur,1061687
Mary Norris,Copy editor,1060918
Tania Simoncelli,Policy expert,1059854
Pearl Arredondo,Teacher,1059278
Alejandro Sánchez Alvarado,Developmental and regeneration biologist,1059199
Adam Sadowsky,Creative entrepreneur ,1059130
Mechai Viravaidya,Public health expert,1059098
Wingham Rowan,Policy entrepreneur,1058852
Catarina Mota,Maker,1058569
E.O. Wilson,Biologist,1057964
Ashton Cofer,Youth inventor,1057942
Sharmeen Obaid-Chinoy,Filmmaker,1057238
Rory Sutherland,Advertising guru,1056987
David Griffin,"Director of photography, National Geographic",1056435
Charles Fleischer,"Comedian, voice artist",1055904
Jacek Utko,Newspaper designer,1055886
Dan Ariely,Behavioral economist,1055562
Anote Tong,President of the Republic of Kiribati,1054718
Tim Berners-Lee,Inventor,1054600
Peter Norvig,Computer scientist,1054590
Kaki King,Guitarist,1054415
Peter Donnelly,Mathematician; statistician,1053758
Rebecca MacKinnon,Internet freedom activist,1053126
Kent Larson,Architect,1052980
Triona McGrath,Chemical oceanographer,1052652
Sebastian Kraves,Biotech entrepreneur,1052018
Andrew Bastawrous,"Eye surgeon, inventor",1051614
Manoush Zomorodi,Tech podcaster,1051530
Ben Saunders,Arctic explorer,1051196
Scott Fraser,"Forensic psychologist, expert witness",1050633
Samantha Nutt,"Doctor, writer and humanitarian",1049990
Sheryl WuDunn,"Author, journalist",1049847
Jonathan Harris,"Artist, storyteller, Internet anthropologist",1049727
Jeffrey Brown,Pastor,1049652
Jedidah Isler,Astrophysicist,1049263
Justin Hall-Tipping,Science entrepreneur,1048905
Gabby Giffords and Mark Kelly,Former U.S. Representative and NASA astronaut; survivors,1048304
Fawn Qiu,Technologist,1047389
John Maeda,Artist,1045703
Nathan Wolfe,Virus hunter,1045631
Steve Ramirez and Xu Liu,Neuroscientist,1044961
Ngozi Okonjo-Iweala,Economist,1044185
Steven Pinker,Psychologist,1044038
Marco Tempest,Techno-illusionist,1042789
Richard Weller,Dermatologist,1042284
Steve Howard,Corporate innovator,1041748
Jeff Speck,Urban planner,1041732
Robert Gupta,Violinist,1038897
Michel Laberge,Plasma physicist,1038727
Elaine Morgan,Aquatic ape theorist,1038576
Stephanie Busari,Journalist,1036236
Jeanne Gang,Architect,1035995
Esta Soler,Violence and abuse prevention expert,1034678
Teitur,Singer-songwriter,1034518
Roy Gould + Curtis Wong,Researcher,1034064
Manu Prakash,"Physicist, inventor",1034009
Allan Jones,Brain scientist,1033748
James Patten,Interaction designer,1033475
Johanna Blakley,Media maven,1033272
Jonathan Drori,Educator,1032549
Will Potter,Investigative journalist,1032390
Liz Hajek,Geoscientist,1031716
Christiana Figueres,Climate advocate,1031398
Vicki Arroyo,Environmental policy influencer,1030762
Eva Vertes,Neuroscience and cancer researcher,1030267
Nadia Lopez,Educator,1029397
Lewis Pugh,Coldwater swimmer,1029186
Viktor Frankl,"Psychiatrist, neurologist, author",1028630
Steven Wise,Animal rights lawyer,1028548
Bran Ferren,Technology designer,1028312
Sarah Parcak,Satellite archaeologist + TED Prize winner,1027539
Susan Robinson,"Business executive, entrepreneur",1026708
Veerle Provoost,Bioethicist,1026629
Michelle Obama,First Lady of the United States,1026589
Christopher Bell,Media studies scholar,1026017
Norman Lear,"Producer, activist",1025698
Theaster Gates,"Artist, potter, community builder",1024661
Timothy Prestero,Designer,1024653
Bahia Shehab,Artist and historian,1024326
Ione Wells,"Writer, activist",1024139
Siddharthan Chandran,Regenerative neurologist,1022945
Gary Greenberg,Micro photographer,1022799
Tom Wujec,Designer,1022457
Eric Mead,Magician,1022426
Scott McCloud,Cartoonist,1022333
Bernie Krause,Natural sounds expert,1022050
Ted Halstead,"Policy entrepreneur, climate expert, author",1022042
Tom Chatfield,Gaming theorist,1021573
Harvey Fineberg,Health policy expert,1021180
Vincent Moon and Naná Vasconcelos,Music icon,1019109
Monica Araya,Climate advocate,1018830
Mohamed Ali,Human rights advocate,1017789
Chris Domas,Cybersecurity researcher,1017778
Sharon Terry,Citizen biomedical researcher,1015849
Robert Palmer,"Campaign leader, Global Witness",1015683
Myriam Sidibe,Public-health expert,1015320
Carolyn Steel,Food urbanist,1014285
Hillel Cooperman,"Entrepreneur, Lego enthusiast",1014201
David Sedlak,Civil and environmental engineer,1013976
Nellie McKay,Singer/songwriter,1013879
Uri Alon,Systems biologist,1013296
Aimee Mullins,Athlete and actor,1013266
Erin McKean,Dictionary editor,1013063
Marcus du Sautoy,Mathematician,1010292
Don Tapscott,Digital strategist,1009356
Emily Esfahani Smith,Author,1009069
Dorothy Roberts,"Professor, author and social justice advocate",1008812
David S. Rose,Angel Investor,1008394
Jimmy Lin,Geneticist,1005506
Dena Simmons,Educator,1005451
Julian Baggini,Philosopher,1005287
Eric Whitacre,"Composer, conductor",1005088
David R. Williams,Public health sociologist,1005076
Craig Venter,"Biologist, genetics pioneer",1004893
Mark Kendall,Biomedical engineer,1004872
Jeff Kirschner,Entrepreneur,1004810
Robin Morgan,Poet and activist,1004539
Amos Winter,Mechanical engineer,1004016
Marcus Byrne,Entomologist,1003863
Barat Ali Batoor,Photojournalist,1003314
Nancy Frates,Mother + ALS Advocate,1003222
Ian Dunbar,Animal behaviorist,1002304
Andrew Fitzgerald,Editor,1000495
Ziyah Gafić,Photographer + storyteller,1000194
Xavier Vilalta,Architect and urbanist,999700
Ben Wellington,Data scientist,999472
Gerard Ryle,Investigative journalist,997650
David Gallo,Oceanographer,996736
Nina Jablonski,Anthropologist,996694
Meklit Hadero,Singer-songwriter,996127
Joseph Ravenell,Physician and men’s health advocate,993232
Siyanda Mohutsiwa,Writer,992773
Dan Bricklin,Software pioneer,992523
Andreas Raptopoulos,Airborne logistics activist,992489
Yasheng Huang,Political economist,992224
Stanley McChrystal,Military leader,991694
Steven Pinker and Rebecca Newberger Goldstein,Philosopher and writer,991359
Mina Bissell,Cancer Researcher,990712
Hector Garcia,Psychologist,990521
Paul Collier,Economist,990220
Seth Berkley,Vaccine visionary,990084
Emma Marris,Environmental writer,990075
Lee Cronin,Chemist,987709
Sanford Biggers,Conceptual artist,987388
Amanda Bennett,Journalist,986726
Paddy Ashdown,Diplomat,986648
Adam de la Zerda,"Biologist, electrical engineer",985203
Antonio Donato Nobre,Scientist,984973
Alex Steffen,Planetary futurist,984738
Erik Schlangen,Experimental micromechanics pioneer,984382
Wade Davis,"Anthropologist, ethnobotanist",984223
Neil MacGregor,Director of The British Museum,983994
Skylar Tibbits,Inventor,983929
Robin Murphy,Disaster roboticist,983682
Shimon Schocken,"Computer Scientist, Educator",983172
Melvin Russell,"Chief of the Community Partnership Division, Baltimore Police Department",982439
Abigail Washburn,Clawhammer banjo player,981351
Rebecca Onie,Health services innovator,979799
Nancy Lublin,Activist,979094
Anna Deavere Smith,"Actor, playwright, social critic",978825
Katrina Spade,"Inventor, designer, death care advocate",977590
Joe Madiath,Social entrepreneur,976621
Carrie Nugent,Asteroid hunter,976473
Kimberley Motley,International litigator,975953
Anjali Tripathi,Astrophysicist,975597
Kate Stafford,Oceanographer,975412
Mike Biddle,Plastics recycler,975365
Jack Choi,Technologist,975115
Edward Burtynsky,Photographer,975107
Nicholas Negroponte,Tech visionary,974087
Karim Abouelnaga,Education entrepreneur,973376
Robert Swan,Polar explorer,972816
Srikumar Rao,Happiness teacher,971594
Prosanta Chakrabarty,Ichthyologist,971212
Chris McKnett,Sustainable investment champion,970911
Debra Jarvis,Chaplain + author,970703
Natasha Hurley-Walker,Astronomer,970115
Chris Downey,Architect,970048
Joshua Prince-Ramus,Architect,967741
Ashton Applewhite,"Author, activist",967704
Sara Lewis,Firefly specialist,967667
Todd Scott,First aid instructor,967472
Mundano,Graffiti artist + activist,966645
Richard Baraniuk,Education visionary,966439
Nicolas Perony,Animal scientist,965291
Natalie Panek,"Rocket scientist, explorer",962489
Anand Giridharadas,Writer,961913
Ameera Harouda,Fixer,961423
Haley Van Dyck,Disrupter,961158
John Hardy,"Designer, educator",960523
Julie Taymor,"Director, designer",959460
Stephen Friend,Open-science advocate,959404
Frank Gehry,Architect,959382
Deepika Kurup,"Inventor, student scientist",958917
Mathias Jud,Artist,958480
Marlon Peterson,Human justice advocate,957803
Mikko Hypponen,Cybersecurity expert,957219
Aditi Shankardass,Neuroscientist ,957087
Ramanan Laxminarayan,Drug-resistance economist,956731
Kristen Marhaver,Coral reef biologist,956539
Andrew McAfee,Management theorist,956324
Fields Wicker-Miurin,Social entrepreneur,956175
Jessica Green,Engineer and biodiversity scientist,955827
Sangu Delle,Entrepreneur,955623
Seth Godin,Marketer and author,955329
Clay Shirky,Social Media Theorist,954924
Krista Donaldson,Engineer,954702
Joseph Nye,Diplomat,954049
Sarah Parcak,Satellite archaeologist + TED Prize winner,953825
Courtney E. Martin,Journalist,953671
Ali Carr-Chellman,Instructional designer,953587
Charity Wayua,Public sector researcher,952784
Ameenah Gurib-Fakim,President of Mauritius,952385
William Noel,"Curator, rare book scholar",952095
Mallory Soldner,Data activist,951340
Richard Seymour,Designer,950387
Martin Villeneuve,"Graphic artist, director",948840
Barry Schwartz,Psychologist,948622
Hendrik Poinar,Evolutionary geneticist,948509
Brian Cox,Physicist ,948459
Billie Jean King,Tennis legend and activist,947562
Heather Barnett,Artist,946949
Rhiannon Giddens,Musician,946815
Raghava KK,Artist,946354
Michael Moschen,Juggler,944836
Salil Dudani,Legal activist,944259
Hadyn Parry,Biotechnology entrepreneur,943968
Tim Leberecht,Business romantic,943919
Mick Ebeling,Entrepreneur,943624
Jacqueline Novogratz,Investor and advocate for moral leadership,943565
Emily Pilloton,Humanitarian design activist,943245
Lara Setrakian,Journalist,942996
Sebastian Seung,Computational neuroscientist,942928
Jonathan Tepperman,Global affairs thinker,942925
José Antonio Abreu,Maestro,942604
Stewart Brand,"Environmentalist, futurist",940913
Mike deGruy,Filmmaker,940841
Damian Palin,Biological miner,940703
Shukla Bose,Education activist,940686
Janine di Giovanni,Reporter,939074
Jonathan Drori,Educator,938976
David Deutsch,Quantum physicist,938937
Camille Seaman,Photographer,938456
Wes Moore,Author and advocate,936480
Parag Khanna,Global strategist,935859
Paola Antonelli,Design curator,934335
Caitlin Doughty,Progressive mortician,933978
Béatrice Coron,Papercutter artist,933319
Yossi Vardi,Investor,933311
Vikram Patel,Mental health care advocate,933277
Shabana Basij-Rasikh,Educator,932561
Heather Brooke,Journalist,932024
Nizar Ibrahim,Paleontologist,931845
Mary Lou Jepsen,Screen engineer,931677
Ed Boyden,Neuroengineer,931567
Howard Rheingold,Digital community builder,931001
Joseph Pine,Writer,930647
Sue Desmond-Hellmann,"CEO, Gates Foundation",929167
Maya Beiser,Cellist,929077
Deborah Gordon,Ecologist,928270
Munir Virani,"Raptor biologist, wildlife photographer",926948
Grégoire Courtine,Spinal cord researcher,926295
Anthony D. Romero,"Attorney, public-interest activist",925733
Janette Sadik-Khan,City transportation expert,925046
Johan Rockstrom,Sustainability expert,924806
Anna Mracek Dietrich,Inventor,924764
Ed Gavagan,"Designer, Storyteller",924318
Amit Sood,Technologist,923916
Jared Diamond,Civilization scholar,923663
Wadah Khanfar,Journalist,922923
Louise Fresco,Food and agriculture expert,922158
Toby Eccles,Social investment visionary,921788
David Hoffman,Filmmaker,920941
Deborah Lipstadt,Historian,918385
Robin Chase,Transport networker,917877
McKenna Pope,Teen activist,917406
Wael Ghonim,Internet activist and computer engineer,914212
James Balog,Photographer,914170
Alice Rawsthorn,Design critic,914011
Zeresenay Alemseged,Paleoanthropologist,913666
"Lauren Hodge, Shree Bose + Naomi Shah",Science fair winner,913084
Freeman Hrabowski,Educator,911601
Gregory Petsko,Bioengineer,909508
Sean Gourley,Physicist and military theorist,909309
Honor Harger,Artist,909194
Ray Kurzweil,"Inventor, futurist",908923
Simon Anholt,Policy advisor,908666
Kate Marvel,Climate scientist,907844
Ed Ulbrich,Visual storyteller,907147
T. Morgan Dixon and Vanessa Garrison,Health activist,907047
David Hanson,Robotics designer,906262
Robert Muggah,Megacities expert,906025
Hans Rosling,Global health expert; data visionary,904813
Chris Anderson,Drone maker,904520
Peter Gabriel,"Musician, activist",904215
Roger Stein,Financial management expert,904210
Daria van den Bercken,Pianist,903111
Parag Khanna,Global strategist,902761
Thomas Peschak,Conservation photographer,901880
Naomi Klein,"Author, Activist ",900395
Diébédo Francis Kéré,Community-minded architect,900115
Isaac Mizrahi,Fashion designer,900005
Tim Jackson,Economist,899942
Erika Gregory,Nuclear reformer,899560
Juan Enriquez,Futurist,898974
Aala El-Khani,Humanitarian psychologist,896491
Freeman Dyson,Physicist,895199
Chade-Meng Tan,Google Fellow,893343
Joshua Smith,Cancer fighter,893022
Deborah Rhodes,"Physician, cancer researcher",892492
Wayne McGregor,Dancer and Choreographer,891589
Stacy Smith,Media researcher,891398
Misha Glenny,Underworld investigator,891314
Titus Kaphar,Artist,890748
"Gretchen Carlson, David Brooks","TV journalist, women's empowerment advocate",890478
Kathy Hull,Pediatric psychologist,890330
Carl Schoonover,Neuroscience PhD student + writer,890283
Marwa Al-Sabouni,Architect,888896
Kevin B. Jones,Cancer researcher,888652
Anne Madden,"Microbiologist, inventor and strategist",888252
George Monbiot,Rewilding campaigner,887823
Del Harvey,Security maven,885494
Carolyn Porco,Planetary scientist,884578
Meera Vijayann,Citizen journalist,884313
Imogen Heap,Musician,883282
Peter Weinstock,Pediatric ICU doctor,882840
Phil Borges,Photographer,882034
Ray Anderson,Sustainable-business pioneer,881842
Nirmalya Kumar,Professor,881361
Noreena Hertz,Economist,880598
Jarrett J. Krosoczka,Author/illustrator,879676
Jamila Raqib,Peacemaker,878864
Anne Milgram,Criminal justice reformer,877932
Halla Tómasdóttir,Change catalyst,877915
Tasso Azevedo,Forester and sustainability activist,877692
Colin Grant,"Author, historian",877106
Adam Savage,"Maker, critical thinker",877096
David Keith,Environmental scientist,876658
Alan Siegel,"Executive, simplicity guru",876649
Esther Duflo,Development economist,876307
Monica Byrne,Author and playwright,876021
Fabian Hemmert,Designer,875821
Raj Panjabi,Physician,874817
Peter Saul,"Doctor, intensive care specialist",873230
Nathan Wolfe,Virus hunter,872641
Kate Hartman,Artist and technologist,872169
Siddhartha Roy,Environmental engineer,872015
David Puttnam,Producer,871453
Enrique Peñalosa,"Colombian politician, urban activist",871452
Tierney Thys,Marine biologist,870412
Daniel Kraft,Physician scientist,869847
Margaret Bourdeaux,"Physician, global health policy analyst",869734
Joy Buolamwini,Poet of code,869310
Noah Feldman,Constitutional law scholar,868290
Chris Bangle,Car designer,867495
Gary Wolf,Journalist,865560
Michael Hansmeyer,Computational architect,863507
Angela Belcher,Biological engineer,862689
Dan Barasch,Strategist,862238
Jacqueline Novogratz,Investor and advocate for moral leadership,861056
Natalie Merchant,Singer/songwriter,860139
Philippa Neave,Electoral consultant,859817
Bruce Aylward,Epidemiologist,859214
Beverly + Dereck Joubert,"Conservationists, filmmakers",858303
Chetan Bhatt,"Sociologist, human rights activist",857850
Guillaume Néry,World champion freediver,857839
Kevin Bales,Anti-slavery activist,857400
Kimberlé Crenshaw,Civil rights advocate,857330
Homaro Cantu + Ben Roche,Chef,857205
Adam Grosser,Venture capitalist,857181
AnnMarie Thomas,Educator,856326
Shyam Sankar,Data Intelligence Agent,856136
Jonathan Harris,"Artist, storyteller, Internet anthropologist",855052
Emily Oster,Assumption-busting economist,854967
Mileha Soneji,Product designer,854226
Rupal Patel,Speech scientist,853612
Richard Resnick,Entrepreneur,852507
Rory Stewart,Politician,852344
Hanna Rosin,Journalist,851862
Nathan Myhrvold,Polymath,851719
Ian Bremmer,Political theorist,851675
Baba Shiv,Neuroeconomist,850833
Catherine Bracy,"Hacker, community manager",849933
Bill Clinton,Activist,849859
Kiran Bedi,Corrections pioneer,849372
Stefan Larsson,Value-based health care advocate,848735
Cynthia Kenyon,"Biochemist, geneticist",847439
Leonard Susskind,Physicist,846544
Chris Abani,"Novelist, poet",843859
Jane Poynter,Biospherian,843719
Jeremy Gilley,Peace activist,842057
Nina Fedoroff,Molecular biologist,841955
Todd Kuiken,Biomedical engineer,841471
Cesar Harada,"Inventor, environmentalist, educator",841128
Robin Hanson,"Futurist, social scientist",840855
Pawan Sinha,Visual neuroscientist,840223
Françoise Mouly,Art editor,839040
George Dyson,Historian of science,838799
Janet Iwasa,Molecular animator,837568
Peter Ward,Paleontologist,837508
Eric Dishman,Social scientist,836699
Jacqueline Novogratz,Investor and advocate for moral leadership,836269
Dan Berkenstock,Satellite designer,836011
Amy Lockwood,Global development worker,834926
Eduardo Paes,Mayor of Rio de Janeiro,834897
Peter Calthorpe,Urban designer,834190
Arthur Potts Dawson,Green chef,833901
Anupam Mishra,Environmental activist,833308
Shih Chieh Huang,Artist,833015
Susan Solomon,Stem cell research advocate,832831
Amory Lovins,"Physicist, energy guru",832668
Seth Shostak,Astronomer,832407
Matt Kenyon,New media artist,829988
Miwa Matreyek,Multimedia artist,829399
Kid President,Inspirer,828203
Melissa Walker,Creative arts therapist,827933
Jennifer Pahlka,Code activist,827607
Emily Parsons-Lord,Artist,827288
Toni Griffin,Place maker,826744
Ryan Gravel,"Urban planner, designer, author",825412
Afra Raymond,Transparency activist,824898
Alexander Betts,Social scientist,823110
Hasan Elahi,Privacy artist,822884
Christopher Soghoian,Privacy researcher and activist,822505
Emtithal Mahmoud,Poet,822049
eL Seed,Artist,821291
Aicha el-Wafi + Phyllis Rodriguez,9/11 mothers,820976
Silk Road Ensemble + Rhiannon Giddens,Musical explorers,820295
James Geary,Aphorist,819664
Naif Al-Mutawa,"Creator, The 99",819361
Laura Boushnak,Photographer,818556
Peter Reinhart,Baker,817651
Aakash Odedra,Choreographer,817014
Mariana Mazzucato,Innovation economist,816687
Seth Priebatsch,Entrepreneur,816019
 Sofi Tukker,Band,815611
Angela Patton,Activist,815594
Jennifer Healey,Research scientist,814568
Rodney Mullen,Skater,814297
Gill Hicks,Survivor and activist,813426
Pankaj Ghemawat,Globalization researcher,813261
Dan Pacholke,Prison administrator and reformer,812963
Josette Sheeran,Anti-hunger leader,812508
Julia Bacha,Filmmaker,811955
Gordon Brown,British Prime Minister,811914
Raghava KK,Artist,811778
Chris Milk,Immersive storyteller,811599
Evan Grant,Creative technologist,811565
Keolu Fox,"Geneticist, indigenous rights activist",809398
Jonathan Trent,Scientist and biofuel guru,809361
Ashraf Ghani,President-elect of Afghanistan,809226
Rob Hopkins,Resilience leader,807653
Raspyni Brothers,Jugglers,807628
Caitria + Morgan O'Neill,Disaster relief expert,805880
John Doerr,Venture capitalist,805111
Sara Ramirez,"Singer, songwriter, actress",804359
Wanda Diaz Merced,Sonic astrophysicist,803813
Qi Zhang,Organist,803691
Georgette Mulheir,"CEO, Lumos",803292
Alberto Cairo,Physiotherapist,802688
Zubaida Bai,Women's health advocate,801279
Bill Ford,"Executive chair, Ford Motor Co.",800056
His Holiness the Karmapa,Spiritual leader,800001
Sandi Toksvig,"Broadcast personality, politician, author",799891
Sarah Parcak,Satellite archaeologist + TED Prize winner,799873
Jamil Abu-Wardeh,Producer,799855
Robert Full,Biologist,799797
Francis Collins,"Geneticist, physician",796884
Gabe Barcia-Colombo,Video sculptor,795097
James Burchfield,Human beatbox,794615
Miriam Zoila Pérez,"Writer, activist",793925
Eric Liu,Civics educator,793098
Garth Lenz,Photographer,792779
Nandan Nilekani,Technologist and visionary,792495
Rainn Wilson,"Actor, writer",792297
Peter van Manen,Electronic systems expert,790591
Edward Tenner,Historian of technology and culture,790122
Jason McCue,Lawyer,788255
Onyx Ashanti,Beatjazz inventor and controllerist,788065
Danielle de Niese,Soprano,787092
Noel Bairey Merz,Physician,786180
George Dyson,Historian of science,785872
Murray Gell-Mann,Physicist,785293
Daniel Libeskind,Architect,784642
Sayu Bhojwani,Immigration scholar,783649
Adam Davidson,Journalist,783528
"Alicia Garza, Patrisse Cullors and Opal Tometi","Writer, activist",782276
Nancy Lublin,Activist,780116
Jake Barton,Designer and storyteller,780039
David Kelley,"Designer, educator",779873
Bertrand Piccard,Solar adventurer,778978
Ngozi Okonjo-Iweala,Economist,778960
Camille A. Brown,Choreographer and educator,778810
Alan Kay,Educator and computing pioneer,777609
Aparna Rao,Artist,777463
Taryn Simon,Photographer,777180
Margaret Gould Stewart,User experience master,777079
Emmanuel Jal,Hip-hop artist,776516
Al Gore,Climate advocate,775430
David Carson,Type designer,774492
Lord Nicholas Stern,Climate economist,773801
Noriko Arai,AI expert,773317
Gail Reed,Cuban health care expert,772907
Charles Leadbeater,Innovation consultant,772299
Matthew White,Brass virtuoso,771962
Golan Levin,Experimental audio-visual artist,771144
Robert Gupta + Joshua Roman,Violinist,769926
Sebastian Junger,Journalist and documentarian,768077
Sō Percussion,Percussion ensemble,767660
Becci Manson,Photo Retoucher,767285
Jennifer Granick,Surveillance and cybersecurity counsel,766721
Catherine Mohr,Roboticist,766536
Leah Buechley,Designer,766305
Sangeeta Bhatia,"Physician, bioengineer and entrepreneur ",766188
Beeban Kidron,Film director,765840
Paul Sereno,Paleontologist,764982
Cheryl Hayashi,Spider silk scientist,764971
Oscar Schwartz,Writer and poet,764500
Norman Foster,Architect,763815
Andrea Ghez,Astronomer,763145
Nick Bostrom,Philosopher,762264
Jean-Paul Mari,Journalist and psychologist,762041
Paul Bennett,"Designer; creative director, Ideo",761930
Bill Davenhall,Health and human services expert,761716
Cathy O'Neil,"Mathematician, data scientist",761258
Gregory Heyworth,Textual scientist,761052
Ani Liu,"Designer, artist",760537
John Gerzema,Marketing whiz,760493
Charmian Gooch,Anti-corruption activist,760225
Patrick Chappatte,Editorial cartoonist,759736
Gary Vaynerchuk,Entrepreneur,757791
Heather Knight,Roboticist ,757335
Michael Metcalfe,Financial expert,756974
Jose Miguel Sokoloff,Anti-guerrilla creative,755399
Robert Neuwirth,Author,754755
Jeff Bezos,Online commerce pioneer,754700
Yochai Benkler,Legal expert,753974
Severine Autesserre,Peace and conflict researcher,753002
Yann Arthus-Bertrand,Photographer,751889
Joshua Silver,Optical innovator,751452
Steven Levitt,Economist,749952
Paul Debevec,Computer graphics pioneer,748862
Alex Tabarrok,Economist,748739
Richard J. Berry,Mayor of Albuquerque,748485
Fiorenzo Omenetto,Biomedical engineer,747979
Ahn Trio,Piano trio,746852
Jennifer Granholm,Former governor of Michigan,745252
Ben Saunders,Arctic explorer,745231
Niki Okuk,Entrepreneur,744793
Bruce Bueno de Mesquita,Political scientist,744448
Mae Jemison,"Astronaut, engineer, entrepreneur, physician and educator",744257
Bruce Schneier,Security expert,744089
David Sengeh,Biomechatronics engineer,742510
Francis de los Reyes,"Environmental engineer, sanitation activist",742106
George Papandreou,Former Prime Minister of Greece,741720
Peter Eigen,"Founder, Transparency International",741625
Jon Gosier,"Investor, data scientist, entrepreneur",741287
TED staff,Amateur musicians,741146
Julia Bacha,Filmmaker,740934
Trita Parsi,Political scientist,740772
Matthew Childs,"Marketer, rock climber",739690
Sam Martin,Writer,739428
Hans Rosling,Global health expert; data visionary,738895
"Amanda Palmer, Jherek Bischoff, Usman Riaz","Musician, blogger",738590
Karen Bass,Natural history filmmaker ,737937
John Hockenberry,Journalist,737230
Paul MacCready,Engineer,736290
Jonathan Eisen,Biologist,736224
Rebecca MacKinnon,Internet freedom activist,735708
Alessandra Orofino,Political mobilization activist,735649
Susan Blackmore,Memeticist,735638
Daniel Reisel,Neuroscientist,734861
Peter Molyneux,Game changer,734490
Gary Slutkin,Epidemiologist,734171
Jack Conte,"Musician, entrepreneur",734095
Shekhar Kapur,Director and writer,733293
Karen Armstrong,Religious scholar,732390
Chris Gerdes,Mechanical engineer,731620
David Pogue,Technology columnist,730407
Gabriel Barcia-Colombo,Video sculptor,729993
Madeleine Albright,Former US Secretary of State,729867
Nathalie Miebach,Artist,729857
Todd Humphreys,Assistant Professor,729428
Kristen Marhaver,Coral reef biologist,729236
Carolyn Bertozzi,Chemical biologist,727807
Jok Church,Cartoonist,727487
Jeff Skoll,Producer,727247
Maurizio Seracini,Art diagnostician,725173
Dale Dougherty,Tech publisher,724865
Stefan Sagmeister,Graphic designer,724833
Don Levy,Film executive,724773
Saki Mafundikwa,Graphic designer,724180
John Francis,Planet walker,723599
Andrew Mwenda,Journalist,722877
Rives,"Performance poet, multimedia artist",722536
Jon Nguyen,Engineer,721905
Damon Davis,Artist and filmmaker,721731
James Stavridis,Navy Admiral,721266
Martin Hanczyc,Chemist,720940
Lemn Sissay,Poet and playwright,720465
Benjamin Barber,Political theorist,719821
Ken Kamler,Adventure physician ,719238
Bono,"Musician, activist",718649
"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",Cognitive psychologist,717979
Joshua Prince-Ramus,Architect,717531
Jonathan Zittrain,Net watchdog,717483
Natalie MacMaster,Fiddler,717002
Marc Pachter,Cultural Historian,716979
Adam Garone,Moustache activist,714578
Chris Bliss,Writer,713999
Fredy Peccerelli,Forensic anthropologist,712971
Sarah Kay,Poet,711977
Eric Topol,Cardiologist and geneticist ,710710
Isabel Behncke,Primatologist,710619
Lisa Gansky,Entrepreneur,710327
Mark Roth,"Biochemist, cell biologist",708408
OluTimehin Adegbeye,"Writer, activist",707788
Robert Full,Biologist,707524
Steven  Cowley,Physicist ,706235
Jacqueline Novogratz,Investor and advocate for moral leadership,705389
Robert Hammond,Friend of the High Line,704205
Maajid Nawaz,Anti-extremism activist,703559
Dennis Hong,Roboticist ,703439
Wolfgang Kessling,Physicist,703243
Jonathan Foley,Professor,702977
Majora Carter,Activist for environmental justice,702793
Jane Chen,Social entrepreneur,702550
David Macaulay,Illustrator,700273
Andreas Schleicher,Education surveyor,699088
Yoruba Richen,Documentary filmmaker,698636
Yoav Medan,Medical inventor,698388
Eric Lewis,Pianist,697257
Sitawa Wafula,Mental health advocate,696847
David Agus,Cancer Doctor,696319
Anastasia Taylor-Lind,Documentary photographer,695961
Ryan Merkley,"COO, Mozilla Foundation",695153
Ethan Zuckerman,"Blogger, digital visionary",694714
Jan Chipchase,User anthropologist,694378
Krista Tippett,Journalist,694181
Lee Cronin,Chemist,693722
Read Montague,Behavioral Neuroscientist,693628
Larry Brilliant,"Epidemiologist, philanthropist",693341
Greg Asner,Airborne ecologist,692579
David Pizarro,"Psychologist, Disgust researcher",692434
Neil Gershenfeld,"Physicist, personal fab pioneer",691814
Anika Paulson,"Student, musician",691593
Teddy Cruz,Architect and urbanist,691538
Simon Lewis,"Author, producer",690977
Juan Enriquez,Futurist,690928
Brittney Cooper,Cultural theorist,690546
Lewis Pugh,Coldwater swimmer,689476
Dianna Cohen,Artist and activist,688861
Cristina Domenech,Poet and educator,687808
Joel Selanikio,Health and technology activist,687669
Noah Wilson-Rich,Beekeeper,687263
