name,speaker_occupation,views
Elif Shafak,Novelist,1763449
Stefan Sagmeister,Graphic designer,1762302
Paul Tudor Jones II,Investor,1762082
Annie Murphy Paul,Science author,1757711
Chip Kidd,Graphic designer,1752014
Al Gore,Climate advocate,1751426
Daniel Tammet,"Linguist, educator",1751030
Peggy Orenstein,"Journalist, author",1750573
Knut Haanaes,Strategist,1743987
Michael Pawlyn,Architect,1740568
David Eagleman,Neuroscientist,1738331
Hans Rosling,Global health expert; data visionary,1738069
Allan Adams,Theoretical physicist,1736329
Daniel Wolpert,Movement expert,1736183
Tim Harford,"Economist, journalist and broadcaster",1734555
Adam Savage,"Maker, critical thinker",1730653
Mitch Resnick,Computer scientist,1725064
Adam Foss,Juvenile justice reformer,1723874
Marco Tempest,Techno-illusionist,1721411
Kenichi Ebina,Dancer,1720579
Blaise Agüera y Arcas,Software architect,1718568
Achenyo Idachaba,Green entrepreneur,1716203
Laura Trice,"Counselor, coach and baker",1714168
David Burkus,Management researcher,1713788
Stephen Petranek,Technology forecaster ,1712075
Chip Kidd,Graphic designer,1711049
Manuel Lima,Data visualization researcher,1710873
Dan Bell,Filmmaker,1707855
Jim Simons,"Philanthropist, mathematician",1705702
Anthony Atala,Surgeon,1705132
Dan Ariely,Behavioral economist,1703367
Will Marshall,Space scientist,1701743
Adam Savage,"Maker, critical thinker",1697809
Majora Carter,Activist for environmental justice,1697550
Frans Lanting,Nature photographer,1697185
Antonio Damasio,Neuroscientist,1692225
Raymond Wang,Inventor,1690995
Abigail Marsh,Psychologist,1690453
Pamelia Kurstin,Theremin player,1687185
Leana Wen,"Emergency physician, public health advocate",1685861
Michael Sandel,Political philosopher,1684720
James Howard Kunstler,Social critic,1683456
Sanjay Dastoor,Roboticist,1683410
Devdutt Pattanaik,Mythologist,1683308
Joe Landolina,medical inventor,1682547
Carter Emmart,"Scientist, Artist ",1678493
Clay Shirky,Social Media Theorist,1677738
Audrey Choi,Sustainable investment expert,1677370
Martin Reeves,Strategist,1677142
Gary Haugen,Human rights attorney,1674355
Dustin Yellin,Sculptor ,1671043
Stefan Sagmeister,Graphic designer,1670894
Megan Washington,Musician,1669149
Cesar Kuriyama,Video maker,1666552
Jane Goodall,Primatologist; environmentalist,1663001
Haas&Hahn,Favela painters,1660815
Mikko Hypponen,Cybersecurity expert,1660801
Tania Luna,Surprisologist,1655352
Atul Gawande,"Surgeon, journalist",1654299
Alejandro Aravena,Urban architect,1652993
Bono,"Musician, activist",1648677
Gian Giudice,Theoretical physicist,1644420
Keith Chen,Behavioral economist,1642461
David Kwong,Cruciverbalist,1641675
Joshua Walters,"Comedian, activist",1637656
Jared Diamond,Civilization scholar,1636425
David Pogue,Technology columnist,1636292
Anne Curzan ,Language historian,1631913
George Smoot,Astrophysicist,1630525
